City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
267,ardestan,33.3761,52.3694,43.72,38,23,2.82,IR,1737866515
268,bydgoszcz,53.1235,18.0076,39.52,88,0,2.3,PL,1737866516
269,terenozek,45.05,64.9833,21.58,74,100,4.07,KZ,1737866517
270,formosa do rio preto,-11.0483,-45.1931,68.5,88,1,2.3,BR,1737866518
271,mount isa,-20.7333,139.5,105.57,18,40,12.66,AU,1737866519
272,winkler,49.1817,-97.941,17.82,67,68,8.05,CA,1737866521
273,outjo,-20.1167,16.15,70.27,65,87,0.2,NA,1737866522
274,taltal,-25.4,-70.4833,66.78,82,75,2.37,CL,1737866523
275,porto novo,6.4965,2.6036,82.22,90,20,3.33,BJ,1737866524
276,hawaiian paradise park,19.5933,-154.9731,74.71,95,100,2.59,US,1737866525
277,vila franca do campo,37.7167,-25.4333,64.81,88,100,22.21,PT,1737866526
278,bandar,2.05,99.75,80.13,80,100,2.1,ID,1737866528
279,filadelfia,39.9523,-75.1638,31.96,67,100,5.75,US,1737866529
280,yei,4.095,30.6779,72.43,43,12,2.53,SS,1737866530
281,ormara,25.2088,64.6357,67.77,34,0,4.52,PK,1737866531
282,worland,44.0169,-107.9554,7.25,81,0,0.0,US,1737866532
283,shalqar,47.8333,59.6,11.73,85,100,5.3,KZ,1737866533
284,sandakan,5.8402,118.1179,76.68,100,40,5.99,MY,1737866535
285,bestobe,52.4994,73.0975,6.78,73,97,6.67,KZ,1737866536
286,cidade velha,14.9167,-23.6167,68.47,77,20,14.97,CV,1737866538
287,withernsea,53.7311,0.0335,37.94,83,35,18.34,GB,1737866539
288,enewetak,11.3474,162.3373,80.51,70,5,15.46,MH,1737866540
289,trinidad,-14.8333,-64.9,71.01,96,100,1.68,BO,1737866541
290,korba,22.35,82.6833,76.01,19,1,6.22,IN,1737866542
291,wagar,16.1525,36.2032,66.83,79,0,8.66,SD,1737866543
292,machico,32.7,-16.7667,64.71,90,75,4.61,PT,1737866545
293,colonia,50.9333,6.95,44.96,93,100,4.61,DE,1737866546
294,petauke,-14.2426,31.3253,66.2,93,96,2.59,ZM,1737866547
295,peniche,39.3558,-9.3811,59.2,86,100,23.0,PT,1737866548
296,macapa,0.0389,-51.0664,78.78,94,75,3.44,BR,1737866549
297,fuzesgyarmat,47.1,21.2167,37.98,73,89,9.66,HU,1737866550
298,gamba,-2.65,10.0,76.06,90,100,5.57,GA,1737866551
299,carcassonne,43.25,2.1667,38.64,100,0,3.44,FR,1737866553
300,dongcun,36.7767,121.1597,37.98,57,100,8.52,CN,1737866554
301,kankan,10.3854,-9.3057,72.37,21,7,3.83,GN,1737866555
302,keminmaa,65.8596,24.8228,33.57,93,100,17.27,FI,1737866556
303,guerrero negro,27.9769,-114.0611,56.86,67,0,3.96,MX,1737866557
304,hithadhoo,-0.6,73.0833,82.42,76,37,10.83,MV,1737866558
305,road town,18.4167,-64.6167,78.17,70,1,23.58,VG,1737866559
306,nova sintra,14.8667,-24.7167,72.32,75,0,21.65,CV,1737866561
307,port arthur,38.8,121.2667,37.62,71,100,7.58,CN,1737866562
308,ridder,50.355,83.5133,18.79,63,11,1.16,KZ,1737866563
309,cromwell,41.5951,-72.6454,27.45,60,0,4.61,US,1737866564
310,luba,3.4568,8.5547,79.16,82,80,4.0,GQ,1737866565
311,puerto leguizamo,-0.1934,-74.7819,70.84,96,44,2.15,CO,1737866566
312,benxi,41.2886,123.765,33.3,54,100,4.54,CN,1737866567
313,eureka,40.8021,-124.1637,38.62,81,0,6.98,US,1737866507
314,vydrino,51.485,104.8461,2.39,73,20,3.33,RU,1737866570
315,madalena,41.2162,-8.3345,54.18,82,100,12.57,PT,1737866571
316,seydi,39.4816,62.9137,38.88,32,8,4.97,TM,1737866572
317,ad dawadimi,24.5077,44.3924,52.95,45,46,5.06,SA,1737866573
318,sorong,-0.8833,131.25,83.88,71,100,7.9,ID,1737866574
319,santa cruz,-17.8,-63.1667,74.66,94,20,8.05,BO,1737866575
320,tshikapa,-6.4167,20.8,68.11,95,98,0.94,CD,1737866577
321,vadso,70.0744,29.7487,32.16,80,75,12.66,NO,1737866578
322,recani,31.2846,-4.2688,53.15,33,43,3.71,MA,1737866580
323,motygino,58.1831,94.7592,6.03,91,100,7.25,RU,1737866581
324,sinazongwe,-17.2614,27.4618,75.31,77,58,2.46,ZM,1737866582
325,hacienda huancane,-15.8222,-70.8856,40.87,81,88,1.9,PE,1737866583
326,petrila,45.45,23.4167,35.69,82,35,5.12,RO,1737866584
327,launceston,-41.45,147.1667,73.04,40,20,13.8,AU,1737866585
328,farasan,16.7022,42.1183,78.15,76,10,8.5,SA,1737866587
329,tongchuanshi,35.0806,109.0897,27.43,39,0,14.61,CN,1737866588
330,khash,28.2211,61.2158,48.99,22,0,3.65,IR,1737866589
331,mejit,10.2753,170.8646,79.38,78,19,18.9,MH,1737866590
332,kargasok,59.0556,80.8572,7.29,94,100,7.02,RU,1737866591
333,san pedro pochutla,15.7333,-96.4667,76.71,57,0,3.83,MX,1737866592
334,quellon,-43.1167,-73.6167,53.15,94,25,3.36,CL,1737866593
335,tolanaro,-25.0319,46.9987,77.07,88,75,6.91,MG,1737866595
336,plouzane,48.3833,-4.6167,48.25,87,0,18.41,FR,1737866596
